id,name,cb_cluster,player_role
-99296,C. Matsima,0,Ball-stealing CB
-98277,A. Theate,1,Ball-playing CB
-98202,C. Okoli,0,Ball-stealing CB
-98134,A. Carboni,0,Ball-stealing CB
-97709,A. Sanganté,0,Ball-stealing CB
-97706,L. Badé,1,Ball-playing CB
-97453,P. Kalulu,1,Ball-playing CB
-96644,M. Mbow,3,Low-impact CB
-96438,Filipe Relvas,2,Aerial dominant CB
-93967,T. Kristensen,2,Aerial dominant CB
-92877,W. Saliba,1,Ball-playing CB
-91617,E. Martel,2,Aerial dominant CB
-89594,L. Balerdi,1,Ball-playing CB
-84158,B. Arrey-Mbi,3,Low-impact CB
-82032,Jorge Herrando,3,Low-impact CB
-81588,Jon Pacheco,2,Aerial dominant CB
-81518,J. Idzes,0,Ball-stealing CB
-78535,José Fontán,1,Ball-playing CB
-78304,F. Bacher,0,Ball-stealing CB
-78299,Morato,3,Low-impact CB
-77739,C. Wooh,0,Ball-stealing CB
-74304,W. Pacho,1,Ball-playing CB
-72826,S. van den Berg,2,Aerial dominant CB
-72676,L. Valenti,3,Low-impact CB
-72526,M. Salisu,1,Ball-playing CB
-71510,A. Abqar,2,Aerial dominant CB
-69609,J. Schmied,3,Low-impact CB
-68829,Ulisses,3,Low-impact CB
-65205,K. De Winter,2,Aerial dominant CB
-64431,P. Hincapié,1,Ball-playing CB
-63831,Saúl Coco,0,Ball-stealing CB
-63826,Mario Gila,1,Ball-playing CB
-59674,M. Geschwill,3,Low-impact CB
-59164,A. Bella-Kotchap,3,Low-impact CB
-59128,M. Thiaw,1,Ball-playing CB
-55253,Óscar Rivas,1,Ball-playing CB
-52461,Tomás Ribeiro,2,Aerial dominant CB
-52034,B. Roux,3,Low-impact CB
-49454,João Ferreira,1,Ball-playing CB
-49445,David Carmo,2,Aerial dominant CB
-43127,Carlos Augusto,2,Aerial dominant CB
-41292,E. Del Prato,3,Low-impact CB
3017,Raúl Albiol,3,Low-impact CB
15805,José Fonte,3,Low-impact CB
16381,M. Hummels,0,Ball-stealing CB
18099,César Azpilicueta,3,Low-impact CB
18902,Iván Marcano,1,Ball-playing CB
34303,A. Webster,1,Ball-playing CB
51175,A. Cresswell,3,Low-impact CB
53129,Dante,1,Ball-playing CB
53627,C. Kabasele,0,Ball-stealing CB
56494,Vasco Fernandes,3,Low-impact CB
56615,Miguel Lopes,2,Aerial dominant CB
56713,Rúben Lima,3,Low-impact CB
56926,Rúben Fernandes,3,Low-impact CB
61746,Aridane Hernández,2,Aerial dominant CB
66411,N. Otamendi,2,Aerial dominant CB
68303,Jorge Teixeira,3,Low-impact CB
74027,L. Cabrera,2,Aerial dominant CB
74231,K. Vogt,3,Low-impact CB
77863,S. Coates,1,Ball-playing CB
86404,N. Gudelj,3,Low-impact CB
88292,V. Sasso,2,Aerial dominant CB
90283,J. Palomino,0,Ball-stealing CB
95861,L. Caldirola,0,Ball-stealing CB
97835,D. Sidibé,3,Low-impact CB
101257,Igor Rossi,2,Aerial dominant CB
102880,S. de Vrij,2,Aerial dominant CB
109708,F. Schär,1,Ball-playing CB
110513,D. Burn,2,Aerial dominant CB
111647,Marcelo,2,Aerial dominant CB
112151,D. D'Ambrosio,3,Low-impact CB
112529,F. Lejeune,1,Ball-playing CB
112536,N. Pallois,0,Ball-stealing CB
113524,Juan Jesus,1,Ball-playing CB
116484,Marc Bartra,0,Ball-stealing CB
123620,S. Bell,2,Aerial dominant CB
125007,Marcos Alonso,1,Ball-playing CB
127315,V. Lindelöf,3,Low-impact CB
128083,Jonathan Buatu,3,Low-impact CB
129104,L. Dunk,1,Ball-playing CB
132296,F. Acerbi,2,Aerial dominant CB
134365,M. Nastasić,3,Low-impact CB
138804,A. Bamba,3,Low-impact CB
141934,Aderllan Santos,0,Ball-stealing CB
142056,A. Jung,1,Ball-playing CB
142477,A. Caracciolo,0,Ball-stealing CB
143213,J. Vestergaard,3,Low-impact CB
145231,Paulo Oliveira,1,Ball-playing CB
146693,Íñigo Martínez,1,Ball-playing CB
147251,Pedro Bigas,1,Ball-playing CB
152561,G. Kondogbia,1,Ball-playing CB
154121,J. Stephens,3,Low-impact CB
155820,David López,1,Ball-playing CB
158314,I. Ordets,2,Aerial dominant CB
159061,Josué Sá,3,Low-impact CB
159872,E. Can,1,Ball-playing CB
162523,A. Tamèze,3,Low-impact CB
166011,Luís Rocha,3,Low-impact CB
166308,Filipe Ferreira,3,Low-impact CB
166646,Pablo Marí,0,Ball-stealing CB
166998,M. Doherty,2,Aerial dominant CB
167977,D. da Costa,1,Ball-playing CB
170333,J. Tarkowski,2,Aerial dominant CB
170872,Jubal,0,Ball-stealing CB
175281,J. Gouweleeuw,0,Ball-stealing CB
